规格名称,商品标题,规格图,规格ID,规格编码,关联数,简称,重量,操作
有线款,脚踩打气筒自行车用通用高压充气泵电动车摩托车,https://cbu01.alicdn.com/img/ibank/O1CN01pH7Jts1VCdcVqpxaF_!!2218707872617-0-cib.310x310.jpg,1027654025046,SKU-425046,12,有线,850,关联订单商品
无线款,脚踩打气筒自行车用通用高压充气泵电动车摩托车,https://cbu01.alicdn.com/img/ibank/O1CN01pH7Jts1VCdcVqpxaF_!!2218707872617-0-cib.310x310.jpg,1027654025047,SKU-425047,8,无线,850,关联订单商品
双缸高压款,脚踩打气筒自行车用通用高压充气泵电动车摩托车,https://cbu01.alicdn.com/img/ibank/O1CN01pH7Jts1VCdcVqpxaF_!!2218707872617-0-cib.310x310.jpg,1027654025048,SKU-425048,15,双缸,850,关联订单商品
迷你便携款,脚踩打气筒自行车用通用高压充气泵电动车摩托车,https://cbu01.alicdn.com/img/ibank/O1CN01pH7Jts1VCdcVqpxaF_!!2218707872617-0-cib.310x310.jpg,1027654025049,SKU-425049,6,便携,850,关联订单商品
5件套,现货剪指甲刀套装指甲剪套盒指甲钳修脚工具美容套7件套挖耳勺器,https://cbu01.alicdn.com/img/ibank/O1CN016ke6v92KE37JF8gWC_!!2218421799524-0-cib.310x310.jpg,986772999967,SKU-999967,5,5件,120,关联订单商品
7件套,现货剪指甲刀套装指甲剪套盒指甲钳修脚工具美容套7件套挖耳勺器,https://cbu01.alicdn.com/img/ibank/O1CN016ke6v92KE37JF8gWC_!!2218421799524-0-cib.310x310.jpg,986772999968,SKU-999968,7,7件,120,关联订单商品
10件套豪华款,现货剪指甲刀套装指甲剪套盒指甲钳修脚工具美容套7件套挖耳勺器,https://cbu01.alicdn.com/img/ibank/O1CN016ke6v92KE37JF8gWC_!!2218421799524-0-cib.310x310.jpg,986772999969,SKU-999969,13,豪华,120,关联订单商品
不锈钢款,现货剪指甲刀套装指甲剪套盒指甲钳修脚工具美容套7件套挖耳勺器,https://cbu01.alicdn.com/img/ibank/O1CN016ke6v92KE37JF8gWC_!!2218421799524-0-cib.310x310.jpg,986772999970,SKU-999970,9,不锈钢,120,关联订单商品
防锈抗菌款,现货剪指甲刀套装指甲剪套盒指甲钳修脚工具美容套7件套挖耳勺器,https://cbu01.alicdn.com/img/ibank/O1CN016ke6v92KE37JF8gWC_!!2218421799524-0-cib.310x310.jpg,986772999971,SKU-999971,10,抗菌,120,关联订单商品
单只装,新款强光远射手电筒迷你便携小手电户外多功能夹帽灯手电,https://cbu01.alicdn.com/img/ibank/O1CN01RohE3p2KE3BLLfiCl_!!2218421799524-0-cib.310x310.jpg,976542280732,SKU-280732,5,单只,180,关联订单商品
双只装,新款强光远射手电筒迷你便携小手电户外多功能夹帽灯手电,https://cbu01.alicdn.com/img/ibank/O1CN01RohE3p2KE3BLLfiCl_!!2218421799524-0-cib.310x310.jpg,976542280733,SKU-280733,9,双只,180,关联订单商品
礼盒装,新款强光远射手电筒迷你便携小手电户外多功能夹帽灯手电,https://cbu01.alicdn.com/img/ibank/O1CN01RohE3p2KE3BLLfiCl_!!2218421799524-0-cib.310x310.jpg,976542280734,SKU-280734,18,礼盒,180,关联订单商品
充电款,新款强光远射手电筒迷你便携小手电户外多功能夹帽灯手电,https://cbu01.alicdn.com/img/ibank/O1CN01RohE3p2KE3BLLfiCl_!!2218421799524-0-cib.310x310.jpg,976542280735,SKU-280735,12,充电,180,关联订单商品
防水款,新款强光远射手电筒迷你便携小手电户外多功能夹帽灯手电,https://cbu01.alicdn.com/img/ibank/O1CN01RohE3p2KE3BLLfiCl_!!2218421799524-0-cib.310x310.jpg,976542280736,SKU-280736,8,防水,180,关联订单商品
战术款,新款强光远射手电筒迷你便携小手电户外多功能夹帽灯手电,https://cbu01.alicdn.com/img/ibank/O1CN01RohE3p2KE3BLLfiCl_!!2218421799524-0-cib.310x310.jpg,976542280737,SKU-280737,25,战术,180,关联订单商品
迷你款,打气筒自行车汽车家用多功能高压充气泵电动电动车摩托车篮球便携,https://cbu01.alicdn.com/img/ibank/O1CN01LaiDsZ1LEKwRuHDtq_!!2219363761267-0-cib.310x310.jpg,1030799403770,SKU-403770,5,迷你,650,关联订单商品
家用款,打气筒自行车汽车家用多功能高压充气泵电动电动车摩托车篮球便携,https://cbu01.alicdn.com/img/ibank/O1CN01LaiDsZ1LEKwRuHDtq_!!2219363761267-0-cib.310x310.jpg,1030799403771,SKU-403771,8,家用,650,关联订单商品
商用高压款,打气筒自行车汽车家用多功能高压充气泵电动电动车摩托车篮球便携,https://cbu01.alicdn.com/img/ibank/O1CN01LaiDsZ1LEKwRuHDtq_!!2219363761267-0-cib.310x310.jpg,1030799403772,SKU-403772,15,商用,650,关联订单商品
电动款,打气筒自行车汽车家用多功能高压充气泵电动电动车摩托车篮球便携,https://cbu01.alicdn.com/img/ibank/O1CN01LaiDsZ1LEKwRuHDtq_!!2219363761267-0-cib.310x310.jpg,1030799403773,SKU-403773,25,电动,650,关联订单商品
